 level_value | average_height | average_pressure 
-------------+----------------+------------------
           1 |        36480.2 |             10.0
           2 |        24339.8 |             30.0
           3 |        20787.1 |             50.0
           4 |        18547.4 |             70.0
           5 |        16887.3 |             90.1
           6 |        15560.5 |            110.2
           7 |        14448.9 |            130.4
           8 |        13488.4 |            150.8
           9 |        12640.9 |            171.2
          10 |        11882.4 |            191.9
          11 |        11195.6 |            212.8
          12 |        10567.3 |            234.1
          13 |         9988.2 |            255.8
          14 |         9449.8 |            277.7
          15 |         8944.0 |            299.9
          16 |         8464.8 |            322.4
          17 |         8008.7 |            345.0
          18 |         7573.1 |            367.8
          19 |         7156.3 |            390.6
          20 |         6757.3 |            413.6
          21 |         6375.0 |            436.5
          22 |         6008.5 |            459.4
          23 |         5657.1 |            482.3
          24 |         5320.3 |            505.0
          25 |         4997.4 |            527.6
          26 |         4688.0 |            550.0
          27 |         4391.7 |            572.2
          28 |         4108.1 |            594.1
          29 |         3836.9 |            615.6
          30 |         3577.8 |            636.8
          31 |         3330.4 |            657.6
          32 |         3094.5 |            678.0
          33 |         2870.0 |            697.8
          34 |         2656.5 |            717.2
          35 |         2454.1 |            735.9
          36 |         2262.5 |            754.0
          37 |         2081.5 |            771.5
          38 |         1911.2 |            788.2
          39 |         1751.4 |            804.2
          40 |         1602.1 |            819.4
          41 |         1463.1 |            833.8
          42 |         1334.4 |            847.3
          43 |         1215.0 |            860.0
          44 |         1104.4 |            871.8
          45 |         1001.8 |            883.0
          46 |          906.8 |            893.4
          47 |          819.0 |            903.2
          48 |          737.8 |            912.2
          49 |          662.9 |            920.7
          50 |          593.8 |            928.5
          51 |          530.1 |            935.8
          52 |          471.5 |            942.5
          53 |          417.6 |            948.7
          54 |          368.1 |            954.5
          55 |          322.6 |            959.8
          56 |          280.7 |            964.7
          57 |          242.2 |            969.3
          58 |          206.6 |            973.5
          59 |          173.7 |            977.4
          60 |          143.1 |            981.0
          61 |          114.5 |            984.4
          62 |           87.5 |            987.6
          63 |           61.7 |            990.7
          64 |           36.8 |            993.7
          65 |           12.2 |            996.7
